x,y,z,time,energy
-447.740, -113.130, -163.130, 2577.966, 10.193
-447.740, -113.130, -180.160, 2495.912, 18.833
-447.740, -113.130, -197.180, 2452.135, 24.646
-447.740, -113.130, -214.200, 2445.813, 16.868
-447.740, -113.130, -231.220, 2720.558, 10.167
-447.740, -113.130, -248.240, 2619.093, 8.300
-447.740, -113.130, -265.260, 4500.727, 0.313
-447.740, -113.130, -282.280, 2812.395, 3.864
-447.740, -113.130, -299.300, 3964.910, 3.345
-447.740, -113.130, -316.320, 2392.627, 1.351
-447.740, -113.130, -350.360, 3451.973, 0.302
-324.390, -93.430, -10.490, 11730.297, 0.871
-324.390, -93.430, -112.610, 2615.233, 2.612
-324.390, -93.430, -129.630, 2452.276, 8.232
-324.390, -93.430, -146.650, 2387.081, 14.536
-324.390, -93.430, -163.670, 2318.254, 17.141
-324.390, -93.430, -180.700, 2269.387, 42.762
-324.390, -93.430, -197.720, 2229.302, 54.219
-324.390, -93.430, -214.740, 2226.510, 44.164
-324.390, -93.430, -231.760, 2256.006, 19.126
-324.390, -93.430, -248.780, 2302.173, 11.657
-324.390, -93.430, -265.800, 2327.703, 5.813
-324.390, -93.430, -282.820, 2375.536, 5.396
-324.390, -93.430, -299.840, 2579.776, 4.432
-324.390, -93.430, -316.860, 3029.675, 1.435
-324.390, -93.430, -333.880, 2921.285, 0.334
-200.550, -74.030, -157.410, 3003.196, 1.010
-200.550, -74.030, -208.470, 2668.174, 6.142
-200.550, -74.030, -225.490, 2377.396, 0.680
-200.550, -74.030, -242.510, 2632.420, 0.659
-200.550, -74.030, -259.530, 3385.096, 0.325
-200.550, -74.030, -327.610, 3560.976, 0.965
-200.550, -74.030, -378.680, 3359.595, 0.902
46.290, -34.880, -196.880, 3908.977, 1.083
-526.630, -15.600, -110.080, 3096.830, 3.327
-526.630, -15.600, -127.100, 3041.292, 14.226
-526.630, -15.600, -144.120, 2923.869, 62.449
-526.630, -15.600, -161.140, 2870.317, 79.044
-526.630, -15.600, -178.170, 2813.060, 490.915
-526.630, -15.600, -195.190, 2785.317, 689.355
-526.630, -15.600, -212.210, 2824.734, 76.902
-526.630, -15.600, -229.230, 2889.333, 19.567
-526.630, -15.600, -246.250, 2979.533, 4.478
-526.630, -15.600, -263.270, 3196.512, 5.327
-526.630, -15.600, -280.290, 3080.220, 3.331
-526.630, -15.600, -297.310, 4042.635, 1.982
-526.630, -15.600, -314.330, 4394.219, 0.825
-526.630, -15.600, -331.350, 4399.235, 0.568
-526.630, -15.600, -348.370, 4639.554, 0.938
-403.140, 3.490, -127.960, 3125.187, 0.872
-403.140, 3.490, -144.980, 2911.616, 6.143
-403.140, 3.490, -162.000, 3087.597, 5.289
-403.140, 3.490, -179.030, 2854.243, 4.479
-403.140, 3.490, -196.050, 2780.981, 2.363
-403.140, 3.490, -213.070, 2813.549, 8.118
-403.140, 3.490, -230.090, 3009.240, 3.366
-403.140, 3.490, -264.130, 3179.186, 1.811
-403.140, 3.490, -315.190, 5309.254, 1.106
-403.140, 3.490, -332.210, 4243.257, 0.985
-403.140, 3.490, -349.230, 3723.575, 0.574
-403.140, 3.490, -400.300, 5711.154, 0.176
-279.530, 23.170, -161.200, 3687.188, 1.465
-279.530, 23.170, -178.220, 3209.894, 1.452
-279.530, 23.170, -229.290, 5554.704, 0.744
-279.530, 23.170, -280.350, 4122.577, 0.816
-481.600, 101.390, -110.690, 4363.300, 0.901
-481.600, 101.390, -127.710, 3685.351, 0.814
-481.600, 101.390, -161.760, 3602.348, 1.240
-481.600, 101.390, -178.780, 3577.597, 1.687
-481.600, 101.390, -195.800, 3762.642, 0.738
-481.600, 101.390, -212.820, 3368.955, 2.409
-481.600, 101.390, -229.840, 3454.910, 1.974
-481.600, 101.390, -263.880, 3954.501, 1.031
-481.600, 101.390, -280.900, 4696.160, 0.470
-481.600, 101.390, -331.960, 4441.810, 0.865
-481.600, 101.390, -383.020, 5839.124, 0.633
-358.440, 120.560, -318.930, 4565.618, 1.218
-358.440, 120.560, -369.990, 3755.427, 1.109
-234.950, 140.440, -385.010, 4455.669, 0.655
72.370, -66.600, -285.980, 2580.835, 0.469
72.370, -66.600, -321.030, 2074.768, 1.710
72.370, -66.600, -363.080, 2504.344, 1.605
57.200, -105.520, -294.560, 3266.096, 0.833
57.200, -105.520, -308.580, 4025.626, 0.755
57.200, -105.520, -357.640, 2423.878, 0.814
57.200, -105.520, -371.660, 2709.936, 0.233
57.200, -105.520, -469.780, 2461.072, 0.805
-9.680, -79.500, -184.450, 2790.294, 0.945
-9.680, -79.500, -275.560, 2913.038, 0.894
-9.680, -79.500, -387.690, 2647.380, 1.078
-9.680, -79.500, -401.710, 3017.060, 0.573
-10.970, 6.720, -185.030, 3948.773, 0.218
